feedItemId,space_1,feedItemVerbId,object.isAnnouncement,object.commentsCount,object.contentType,object.name,object.topics.name,feed count w. 2016-01-31,feed count w. 2016-02-07
569cdaf459395e26004c805d,KLS3551 Kulturledelse,upload,,0,file,Forelesningsplan KLS3551 Kulturledelse_vår.pdf,Informasjon,2,2
569be1bae62ae22300d17f2a,ORG3402 Organisasjonsatferd og ledelse,post,False,0,,,Motivasjon,0,2
569bbf6ae62ae22300d16cb5,ORG3402 Organisasjonsatferd og ledelse,upload,,0,file,PILT.pptx,PILT,0,0
569b6a432fb0de2600f31ffe,KLS3551 Kulturledelse,upload,,0,file,Kulturpolitikk opplasting_LinnBirgit.pptx,Kulturpolitikk,0,0
569bba38e62ae22300d16478,ORG3402 Organisasjonsatferd og ledelse,upload,,0,file,Spilleregler for eiendomsmegling.docx,Beskjeder,0,1
569bba82e62ae22300d165b1,ORG3402 Organisasjonsatferd og ledelse,upload,,0,file,Spilleregler for finans.docx,Beskjeder,1,1
569904a241a9d72100242b76,MRK3480 Forbrukeratferd,upload,,0,file,mitt kjøleskap.jpg,Beslutninger,0,0
569ce5fa59395e26004c861d,ORG3402 Organisasjonsatferd og ledelse,post,False,0,,,Beskjeder,17,15
56a52aa1c9741c250008237e,ORG3402 Organisasjonsatferd og ledelse,upload,,0,file,Økt2_organisasjon_trive.ppt,Organisasjon,147,34
569b6d392fb0de2600f3213d,KLS3551 Kulturledelse,post,False,0,,,Informasjon,0,0
569e1b0159395e26004ccdcd,KLS3551 Kulturledelse,comment,,,,,,0,0
569e528eaad1bf2600b0ecbd,KLS3551 Kulturledelse,comment,,,,,,0,0
569bbd09e62ae22300d16a76,ORG3402 Organisasjonsatferd og ledelse,upload,,0,file,Økt 1_intro_motivasjon_trive.pptx,Motivasjon,3,0
56a545f74d946d2400ad33ff,MRK3480 Forbrukeratferd,upload,,0,file,Beslutningsmodellen norsk.pptx,Beslutninger||Foiler til hvert kapittel,94,2
569e1770aad1bf2600b0d0e4,KLS3551 Kulturledelse,post,False,5,,,Informasjon,2,0
569cc786b0e0b62400097089,MRK3480 Forbrukeratferd,upload,,0,file,Kap 4 Beslutninger KLASSE.ppt,Beslutninger||Foiler til hvert kapittel,11,1
569cdaf459395e26004c805d,KLS3551 Kulturledelse,upload,,0,file,Forelesningsplan KLS3551 Kulturledelse_vår.pdf,Informasjon,2,2
56ab9e034377f523002345ef,ORG3402 Organisasjonsatferd og ledelse,comment,,,,,,1,0
56a8dd8a57dbd02300a5e115,MRK3480 Forbrukeratferd,upload,True,0,file,motivajonsbilde fra Nicoline OH2.jpg,"Beskjeder, kun fra Nina||Behov og Motiv",122,22
56a73f80711678b500aec99b,MRK3480 Forbrukeratferd,post,True,0,,,"Beskjeder, kun fra Nina||Behov og Motiv",102,5
569bbd09e62ae22300d16a76,ORG3402 Organisasjonsatferd og ledelse,upload,,0,file,Økt 1_intro_motivasjon_trive.pptx,Motivasjon,3,0
56a53caa4d946d2400ad3281,MRK3480 Forbrukeratferd,post,False,2,,,Forbrukeratferd,1,0
56a60254c9741c2500082a8f,MRK3480 Forbrukeratferd,upload,,0,file,Kap 5 Behov & motiv KLASSE.ppt,Foiler til hvert kapittel||Behov og Motiv,89,4
569cdaf459395e26004c805d,KLS3551 Kulturledelse,upload,,0,file,Forelesningsplan KLS3551 Kulturledelse_vår.pdf,Informasjon,2,2
569be1bae62ae22300d17f2a,ORG3402 Organisasjonsatferd og ledelse,post,False,0,,,Motivasjon,0,2
56b0ba434377f52300235437,ORG3402 Organisasjonsatferd og ledelse,comment,,,,,,0,1
56b1bd704377f523002358dc,ORG3402 Organisasjonsatferd og ledelse,comment,,,,,,0,1
56b364d6c093352000648add,MRK3480 Forbrukeratferd,post,True,5,,,"Beskjeder, kun fra Nina",0,46
56b0a60f29028e2600914ac1,ORG3402 Organisasjonsatferd og ledelse,post,False,2,,,Organisasjon,0,1
56b3c568d4d43f260091b30f,MRK3480 Forbrukeratferd,comment,,,,,,0,1
569bba38e62ae22300d16478,ORG3402 Organisasjonsatferd og ledelse,upload,,0,file,Spilleregler for eiendomsmegling.docx,Beskjeder,0,1
56a545f74d946d2400ad33ff,MRK3480 Forbrukeratferd,upload,,0,file,Beslutningsmodellen norsk.pptx,Beslutninger||Foiler til hvert kapittel,94,2
569cc786b0e0b62400097089,MRK3480 Forbrukeratferd,upload,,0,file,Kap 4 Beslutninger KLASSE.ppt,Beslutninger||Foiler til hvert kapittel,11,1
