,Fasit på Multiple Choice eksamen,AdobeConnect - linker til webinar,Prosjektoppgaven og innmelding,Prosjektoppgaven,Informasjon om kurset,Case competition - take a look inside,Forelesningsslides,Eksempeloppgaver H2014,Facebookgruppe,Artikler og annet,Padlets,Videolinker,Start,End
Fasit på Multiple Choice eksamen,0.683933934,0.000750751,0.006756757,0,0.000750751,0,0.007507508,0.021771772,0,0.001501502,0.000750751,0.000750751,0,0.275525526
AdobeConnect - linker til webinar,0.006644518,0.023255814,0.122923588,0,0.046511628,0.029900332,0.169435216,0.033222591,0.03654485,0.109634551,0.146179402,0.073089701,0,0.202657807
Prosjektoppgaven og innmelding,0.002862869,0.008016032,0.462353278,0,0.030346407,0.01002004,0.07472087,0.035499571,0.006870885,0.023475522,0.027769825,0.01460063,0,0.303464071
Prosjektoppgaven,0,0,0.021505376,0.548387097,0.032258065,0.021505376,0.064516129,0,0.010752688,0.010752688,0,0.021505376,0,0.268817204
Informasjon om kurset,0.004491018,0.003742515,0.15494012,0.003742515,0.432634731,0.010479042,0.127245509,0.008982036,0.015718563,0.050898204,0.021706587,0.020209581,0,0.145209581
Case competition - take a look inside,0,0.023411371,0.190635452,0.013377926,0.046822742,0.351170569,0.066889632,0.02006689,0.02006689,0.056856187,0.066889632,0.023411371,0,0.120401338
Forelesningsslides,0.002257655,0.007478482,0.035699167,0.000141103,0.021588825,0.001975448,0.591505574,0.010723861,0.004656413,0.026104134,0.019190066,0.018061239,0,0.260618033
Eksempeloppgaver H2014,0.010727612,0.003731343,0.068563433,0,0.006063433,0.001865672,0.048507463,0.610074627,0.000932836,0.015858209,0.007462687,0.013526119,0,0.212686567
Facebookgruppe,0.009433962,0.033018868,0.202830189,0.009433962,0.066037736,0.033018868,0.122641509,0.004716981,0.028301887,0.132075472,0.066037736,0.04245283,0,0.25
Artikler og annet,0.003324468,0.037234043,0.080452128,0.001994681,0.033244681,0.013297872,0.138297872,0.024601064,0.011968085,0.431515957,0.029255319,0.032579787,0,0.162234043
Padlets,0,0.040944882,0.086614173,0.003149606,0.048818898,0.023622047,0.251968504,0.022047244,0.031496063,0.047244094,0.078740157,0.047244094,0,0.318110236
Videolinker,0.001814882,0.021778584,0.092558984,0.003629764,0.023593466,0.016333938,0.22323049,0.049001815,0.038112523,0.110707804,0.038112523,0.045372051,0,0.335753176
Start,0.049043199,0.013521256,0.239028303,0.004125129,0.054657958,0.008250258,0.396012375,0.089377793,0.007677323,0.046063939,0.041365876,0.05087659,0,0
End,,,,,,,,,,,,,,
